transfer_type;from;to;vehicle;pax_max;date_from;date_to;price;currency
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Antalya;мидибаc;20;2024-03-11;2026-10-31;109;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Side;мидибаc;20;2024-03-11;2026-10-31;293;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Belek;мидибаc;20;2024-03-11;2026-10-31;239;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Alanya;мидибаc;20;2024-03-11;2026-10-31;130;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Kemer;мидибаc;20;2024-03-11;2026-10-31;163;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Denizyaka;мидибаc;20;2024-03-11;2026-10-31;155;EUR
Аэропорт-Отель;Аэропорт Antalya;Belek;микроавтобус (без гида);12;2024-03-11;2026-10-31;206;EUR
Аэропорт-Отель;Аэропорт Antalya;Side;микроавтобус (без гида);12;2024-03-11;2026-10-31;369;EUR
Аэропорт-Отель;Аэропорт Antalya;Kemer;микроавтобус (без гида);12;2024-03-11;2026-10-31;250;EUR
Аэропорт-Отель;Аэропорт Antalya;Alanya;микроавтобус (без гида);12;2024-03-11;2026-10-31;445;EUR
Аэропорт-Отель;Аэропорт Antalya;Antalya;микроавтобус (без гида);12;2024-03-11;2026-10-31;163;EUR
Аэропорт-Отель;Аэропорт Antalya;Denizyaka;микроавтобус (без гида);12;2024-03-11;2027-03-31;222;EUR
Отель-Аэропорт;Belek;Аэропорт Antalya;мидибаc;20;2024-03-11;2027-03-31;105;EUR
Отель-Аэропорт;Side;Аэропорт Antalya;мидибаc;20;2024-03-11;2027-03-31;220;EUR
Отель-Аэропорт;Kemer;Аэропорт Antalya;мидибаc;20;2024-03-11;2027-03-31;110;EUR
Отель-Аэропорт;Alanya;Аэропорт Antalya;мидибаc;20;2024-03-11;2027-03-31;146;EUR
Отель-Аэропорт;Antalya;Аэропорт Antalya;мидибаc;20;2024-03-11;2027-03-31;11;EUR
Отель-Аэропорт;Denizyaka;Аэропорт Antalya;мидибаc;20;2024-03-11;2027-03-31;123;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Kemer;MERCEDES VITO (без гида);5;2025-01-01;2026-10-31;193;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Antalya;MERCEDES VITO (без гида);5;2025-01-01;2026-10-31;150;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Belek;MERCEDES VITO (без гида);5;2025-01-01;2026-10-31;171;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Denizyaka;MERCEDES VITO (без гида);5;2025-01-01;2026-10-31;198;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Gundogdu;MERCEDES VITO (без гида);5;2025-01-01;2026-10-31;193;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Colakli;MERCEDES VITO (без гида);5;2025-01-01;2026-10-31;193;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Evrenseki;MERCEDES VITO (без гида);5;2025-01-01;2026-10-31;193;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Kumkoy;MERCEDES VITO (без гида);5;2025-01-01;2026-10-31;193;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Manavgat;MERCEDES VITO (без гида);5;2025-01-01;2026-10-31;193;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Kemer; MERCEDES S 500;3;2025-01-01;2026-10-31;1173;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Antalya; MERCEDES S 500;3;2025-01-01;2026-10-31;847;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Belek; MERCEDES S 500;3;2025-01-01;2026-10-31;239;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Denizyaka; MERCEDES S 500;3;2025-01-01;2026-10-31;173;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Gundogdu; MERCEDES S 500;3;2025-01-01;2026-10-31;239;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Colakli; MERCEDES S 500;3;2025-01-01;2026-10-31;423;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Evrenseki; MERCEDES S 500;3;2025-01-01;2026-10-31;673;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Kumkoy; MERCEDES S 500;3;2025-01-01;2026-10-31;2369;EUR
Аэропорт-Отель-Аэропорт ;Аэропорт Antalya;Manavgat; MERCEDES S 500;3;2025-01-01;2026-10-31;1173;EUR
